file,params,prop,type,n,a,repeat,error,time_VI,iters_VI,dist_VI,time_VIGS,iters_VIGS,dist_VIGS,time_RVI,iters_RVI,dist_RVI,time_PI1,iters_PI1,dist_PI1,time_PIGS1,iters_PIGS1,dist_PIGS1,time_PI2,iters_PI2,dist_PI2,time_PIGS2,iters_PIGS2,dist_PIGS2,time_PI3,iters_PI3,dist_PI3,time_PIGS3,iters_PIGS3,dist_PIGS3
consensus.2.v1.jani,{'K': 8},c2,TotalRewardMDP,1040,3,1,,0.25101,8285,9.984e-09,0.1231,4153,9.98399e-09,,,,0.16235,4067,9.984e-09,0.10087,2581,9.93664e-09,0.13422,2780,9.984e-09,0.07739,1672,9.98878e-09,0.08609,555,9.984e-09,0.0383,219,9.9738e-09
consensus.2.v1.jani,{'K': 8},c2,TotalRewardMDP,1040,3,2,,0.24986,8285,9.984e-09,0.12314,4153,9.98399e-09,,,,0.16175,4067,9.984e-09,0.10034,2581,9.93664e-09,0.13475,2780,9.984e-09,0.07735,1672,9.98878e-09,0.0865,555,9.984e-09,0.0383,219,9.9738e-09
consensus.2.v1.jani,{'K': 8},c2,TotalRewardMDP,1040,3,3,,0.25137,8285,9.984e-09,0.12252,4153,9.98399e-09,,,,0.16224,4067,9.984e-09,0.10142,2581,9.93664e-09,0.13462,2780,9.984e-09,0.07754,1672,9.98878e-09,0.08659,555,9.984e-09,0.03795,219,9.9738e-09
consensus.2.v1.jani,{'K': 8},c2,TotalRewardMDP,1040,3,4,,0.24777,8285,9.984e-09,0.1223,4153,9.98399e-09,,,,0.16243,4067,9.984e-09,0.1016,2581,9.93664e-09,0.13474,2780,9.984e-09,0.07745,1672,9.98878e-09,0.08597,555,9.984e-09,0.03833,219,9.9738e-09
consensus.2.v1.jani,{'K': 8},c2,TotalRewardMDP,1040,3,5,,0.24865,8285,9.984e-09,0.12365,4153,9.98399e-09,,,,0.16201,4067,9.984e-09,0.10194,2581,9.93664e-09,0.13492,2780,9.984e-09,0.07699,1672,9.98878e-09,0.08558,555,9.984e-09,0.03858,219,9.9738e-09
consensus.2.v1.jani,{'K': 8},c2,TotalRewardMDP,1040,3,6,,0.24825,8285,9.984e-09,0.12336,4153,9.98399e-09,,,,0.16231,4067,9.984e-09,0.10322,2581,9.93664e-09,0.13564,2780,9.984e-09,0.08254,1672,9.98878e-09,0.08566,555,9.984e-09,0.03823,219,9.9738e-09
consensus.2.v1.jani,{'K': 8},c2,TotalRewardMDP,1040,3,7,,0.24896,8285,9.984e-09,0.12376,4153,9.98399e-09,,,,0.16222,4067,9.984e-09,0.1019,2581,9.93664e-09,0.13495,2780,9.984e-09,0.07745,1672,9.98878e-09,0.08672,555,9.984e-09,0.03859,219,9.9738e-09
consensus.2.v1.jani,{'K': 8},c2,TotalRewardMDP,1040,3,8,,0.24862,8285,9.984e-09,0.12306,4153,9.98399e-09,,,,0.16223,4067,9.984e-09,0.10272,2581,9.93664e-09,0.13503,2780,9.984e-09,0.07817,1672,9.98878e-09,0.08553,555,9.984e-09,0.03849,219,9.9738e-09
consensus.2.v1.jani,{'K': 8},c2,TotalRewardMDP,1040,3,9,,0.24996,8285,9.984e-09,0.12288,4153,9.98399e-09,,,,0.16267,4067,9.984e-09,0.10265,2581,9.93664e-09,0.13469,2780,9.984e-09,0.07752,1672,9.98878e-09,0.08662,555,9.984e-09,0.03888,219,9.9738e-09
consensus.2.v1.jani,{'K': 8},c2,TotalRewardMDP,1040,3,10,,0.24972,8285,9.984e-09,0.1231,4153,9.98399e-09,,,,0.16225,4067,9.984e-09,0.10199,2581,9.93664e-09,0.13497,2780,9.984e-09,0.07728,1672,9.98878e-09,0.08637,555,9.984e-09,0.03856,219,9.9738e-09
