file,params,prop,type,n,a,repeat,error,time_VI,iters_VI,dist_VI,time_VIGS,iters_VIGS,dist_VIGS,time_RVI,iters_RVI,dist_RVI,time_PI1,iters_PI1,dist_PI1,time_PIGS1,iters_PIGS1,dist_PIGS1,time_PI2,iters_PI2,dist_PI2,time_PIGS2,iters_PIGS2,dist_PIGS2,time_PI3,iters_PI3,dist_PI3,time_PIGS3,iters_PIGS3,dist_PIGS3
consensus.2.v1.jani,{'K': 8},c2,TotalRewardMDP,1040,3,1,,0.24231,8285,9.984e-09,0.12403,4153,9.98399e-09,,,,0.1589,4067,9.984e-09,0.09958,2581,9.93664e-09,0.17371,2780,9.984e-09,0.08617,1672,9.98878e-09,0.09723,555,9.984e-09,0.04119,219,9.9738e-09
consensus.2.v1.jani,{'K': 8},steps_max,AverageMDP,1040,3,1,,0.46301,13100,9.99273e-09,,,,0.48061,13100,9.99273e-09,0.26782,4857,9.93487e-09,0.17264,3264,9.9642e-09,0.35939,3239,9.98398e-09,0.15591,2076,9.95396e-09,0.29023,813,9.95487e-09,0.15659,33,9.9717e-09
consensus.2.v1.jani,{'K': 16},c2,TotalRewardMDP,2064,3,1,,1.87868,29723,9.99782e-09,0.88025,14880,9.99782e-09,,,,1.23186,14786,9.99782e-09,1.0463,9400,9.99839e-09,1.01575,11466,9.99782e-09,0.61808,7484,9.98235e-09,0.6766,2871,9.99782e-09,0.35135,1989,9.9811e-09
consensus.2.v1.jani,{'K': 16},steps_max,AverageMDP,2064,3,1,,3.62792,49406,9.9958e-09,,,,3.64268,49406,9.9958e-09,2.00797,18312,9.98261e-09,1.26486,12319,9.99125e-09,1.86035,12207,9.99898e-09,1.09421,8248,9.99808e-09,1.29184,3059,9.99717e-09,0.70219,2094,9.99353e-09
consensus.2.v1.jani,{'K': 24},c2,TotalRewardMDP,3088,3,1,,6.54455,62351,9.99225e-09,3.10125,31202,9.99225e-09,,,,4.10601,31100,9.99225e-09,2.92942,19944,9.96644e-09,4.00279,25806,9.99225e-09,2.28982,17728,9.91971e-09,2.28067,5868,9.99225e-09,1.2525,4545,9.87043e-09
consensus.2.v1.jani,{'K': 24},steps_max,AverageMDP,3088,3,1,,12.11111,108950,9.99262e-09,,,,12.36727,108950,9.99262e-09,6.90465,40381,9.99444e-09,4.43779,27163,9.99535e-09,5.54192,26924,9.99444e-09,3.74024,18189,9.99262e-09,4.03084,6741,9.99717e-09,2.37944,4738,9.99808e-09
consensus.2.v1.jani,{'K': 32},c2,TotalRewardMDP,4112,3,1,,13.71545,105119,9.99716e-09,6.38838,52594,9.99716e-09,,,,8.76044,52484,9.99716e-09,5.41788,33525,9.90521e-09,7.76388,45862,9.99716e-09,5.29902,31027,9.93118e-09,4.96736,11447,9.99716e-09,2.81789,8348,9.90373e-09
consensus.2.v1.jani,{'K': 32},steps_max,AverageMDP,4112,3,1,,29.88583,191731,9.99898e-09,,,,28.36114,191731,9.99898e-09,14.79471,71067,9.99898e-09,10.63348,47798,9.99898e-09,12.76262,47370,9.99717e-09,7.96134,32009,9.99535e-09,9.30456,11864,9.99898e-09,5.31755,8336,9.99535e-09
consensus.2.v1.jani,{'K': 40},c2,TotalRewardMDP,5136,3,1,,24.39462,157307,9.99826e-09,11.93888,78696,9.99826e-09,,,,16.53532,78578,9.99826e-09,10.53563,50361,9.84227e-09,14.90999,71465,9.99826e-09,9.7031,48014,9.80426e-09,10.20183,17939,9.99826e-09,5.16943,12884,9.90507e-09
consensus.2.v1.jani,{'K': 40},steps_max,AverageMDP,5136,3,1,,56.29513,297767,9.99717e-09,,,,53.7442,297767,9.99717e-09,31.62856,110374,9.99717e-09,19.40908,74241,9.99717e-09,25.82336,73587,9.99717e-09,17.27713,49706,9.99717e-09,18.06354,18441,9.99717e-09,10.46292,12950,9.99717e-09
consensus.2.v1.jani,{'K': 48},c2,TotalRewardMDP,6160,3,1,,43.43354,218351,9.99986e-09,20.47523,109226,9.99986e-09,,,,27.93572,109100,9.99986e-09,16.97786,69954,9.86543e-09,26.10596,101927,9.99986e-09,16.52683,67264,9.76481e-09,16.13027,25835,9.99986e-09,8.72864,18299,9.85413e-09
consensus.2.v1.jani,{'K': 48},steps_max,AverageMDP,6160,3,1,,92.81597,427031,9.99717e-09,,,,89.81558,427031,9.99717e-09,50.90569,158291,9.99717e-09,33.47353,106454,9.99717e-09,43.55008,105546,9.99717e-09,27.05942,71310,9.99717e-09,30.85558,26443,9.99717e-09,17.21313,18596,9.99717e-09
